NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option	10.8203
Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option	21.7425
Nippon India Banking and PSU Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking and PSU Fund- Growth Plan- Growth Option	20.9367
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1474.6462
SBI BANKING & PSU FUND - Direct Plan - Growth	3347.8730
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1306.6702
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1471.3705
SBI BANKING & PSU FUND - Regular Paln - Growth	3148.1157
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1436.2574
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1223.9284
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1435.9153
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	44.1490
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.7917
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7644
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	43.5197
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.8336
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1311.3982
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1281.6037
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1150.2932
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1306.8482
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1143.6574
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1165.9322
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1123.0008
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1122.0223
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1231.1447
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1123.2907
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1139.3922
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1105.4964
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.3488
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.4646
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.5878
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.9887
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.482
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.8118
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.0985
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.8871
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.8247
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.2516
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.2343
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.1993
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	115.8578
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	113.8861
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.7897
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.8446
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.1144
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.6428
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2147
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.2818
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3659
Axis Corporate Bond Fund - Direct Plan Growth	18.3064
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2297
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.2067
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.3498
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2423
Axis Corporate Bond Fund - Regular Plan Growth	17.2787
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.6252
BANDHAN Corporate Bond Fund - Direct Growth	20.0215
